ID_aeroport;Nom_aeroport;Code_aeroport;Ville;Pays
408;Noi Bai International Airport;VVNB;;VN-RRD
409;Tan Son Nhat International Airport;VVTS;;VN-SE
410;Mandalay International Airport;VYMD;;MM-04
411;Yangon International Airport;VYYY;;MM-06
412;Hasanuddin International Airport;WAAA;;ID-SN
413;Ngurah Rai (Bali) International Airport;WADD;;ID-BA
414;Dortheys Hiyo Eluay International Airport;WAJJ;;ID-PA
415;Sultan Aji Muhammad Sulaiman Sepinggan International Airport;WALL;;ID-KI
416;Juanda International Airport;WARR;;ID-JI
417;Brunei International Airport;WBSB;;BN-BM
418;Soekarno-Hatta International Airport;WIII;;ID-BT
419;Kualanamu International Airport;WIMM;;ID-SU
420;Kuala Lumpur International Airport;WMKK;;MY-10
421;Singapore Changi Airport;WSSS;;SG-04
422;Brisbane International Airport;YBBN;;AU-QLD
423;Melbourne International Airport;YMML;;AU-VIC
424;Yantai Penglai International Airport;YNT;;CN-37
425;Adelaide International Airport;YPAD;;AU-SA
426;Darwin International Airport / RAAF Darwin;YPDN;;AU-NT
427;Perth International Airport;YPPH;;AU-WA
428;Sydney Kingsford Smith International Airport;YSSY;;AU-NSW
429;Beijing Capital International Airport;ZBAA;;CN-11
430;Beijing Daxing International Airport;ZBAD;;CN-11
431;Hohhot Baita International Airport;ZBHH;;CN-15
432;Tianjin Binhai International Airport;ZBTJ;;CN-12
433;Taiyuan Wusu Airport;ZBYN;;CN-14
434;Guangzhou Baiyun International Airport;ZGGG;;CN-44
435;Changsha Huanghua International Airport;ZGHA;;CN-43
436;Guilin Liangjiang International Airport;ZGKL;;CN-45
437;Nanning Wuxu Airport;ZGNN;;CN-45
438;Shenzhen Bao'an International Airport;ZGSZ;;CN-44
439;Zhengzhou Xinzheng International Airport;ZHCC;;CN-41
440;Wuhan Tianhe International Airport;ZHHH;;CN-42
441;Haikou Meilan International Airport;ZJHK;;CN-46
442;Sanya Phoenix International Airport;ZJSY;;CN-46
443;Lanzhou Zhongchuan International Airport;ZLLL;;CN-62
444;Xi'an Xianyang International Airport;ZLXY;;CN-61
445;Ulaanbaatar Chinggis Khaan International Airport;ZMCK;;MN-047
446;Kunming Changshui International Airport;ZPPP;;CN-53
447;Xiamen Gaoqi International Airport;ZSAM;;CN-35
448;Nanchang Changbei International Airport;ZSCN;;CN-36
449;Fuzhou Changle International Airport;ZSFZ;;CN-35
450;Hangzhou Xiaoshan International Airport;ZSHC;;CN-33
451;Jinan Yaoqiang International Airport;ZSJN;;CN-37
452;Ningbo Lishe International Airport;ZSNB;;CN-33
453;Nanjing Lukou International Airport;ZSNJ;;CN-32
454;Shanghai Pudong International Airport;ZSPD;;CN-31
455;Shanghai Hongqiao International Airport;ZSSS;;CN-31
456;Wenzhou Longwan International Airport;ZSWZ;;CN-33
457;Chongqing Jiangbei International Airport;ZUCK;;CN-50
458;Guiyang Longdongbao International Airport;ZUGY;;CN-52
459;Chengdu Tianfu International Airport;ZUTF;;CN-51
460;Chengdu Shuangliu International Airport;ZUUU;;CN-51
461;ÃœrÃ¼mqi Diwopu International Airport;ZWWW;;CN-65
462;Changchun Longjia International Airport;ZYCC;;CN-22
463;Harbin Taiping International Airport;ZYHB;;CN-23
464;Dalian Zhoushuizi International Airport;ZYTL;;CN-21
465;Shenyang Taoxian International Airport;ZYTX;;CN-21
